Genotype,Seed_yield_g.plot_2023,Seed_yield_g.plot_2024,Seed_yield_kg.ha_2023,Seed_yield_kg.ha_2024
M-1554,429.1524872,284.7555645,3635.698363,2582.5397
M-830,192.4395725,85.12704823,2156.92659,1468.494712
M-1380,248.6859899,146.882255,2484.721135,1691.883147
IG72174,158.2143826,190.7277819,2546.478958,2137.584721
M-2280,337.850844,211.071811,3124.462518,2213.376046
S120085,228.6988702,123.1364449,2642.456989,1825.709135
S120149,185.742006,164.0939143,2446.061728,2278.599374
S120188,198.9269141,153.8982235,2799.525889,2190.059316
S120189,373.7972143,138.8801784,3326.814522,1834.565987
S120203,179.4983618,143.2485604,2640.437064,1799.246534
S120339,280.501048,116.6734148,3545.213627,1622.590432
S120377,286.9592381,202.7245768,2659.240176,2079.520224
S120448,195.2293987,143.9552695,2569.456951,1787.076896
16545,223.203377,156.1996039,2871.252552,1957.758878
Aksu,265.8470178,97.62799554,2683.557653,1500.872171
Arda,206.1814348,169.8568761,2788.312294,1910.347094
FLIP03-108C,243.251849,180.2360372,2920.770564,2022.971405
FLIP03-63C,232.4395632,167.2674139,2998.667393,2138.841254
FLIP05-160C,326.0375401,221.7869107,3016.863422,2294.467711
FLIP05-26C,219.6611894,152.7094343,3251.121722,1896.224594
FLIP06-114C,159.0605704,154.2105963,1979.851455,2029.521766
FLIP06-124C,132.0008776,126.4740824,2049.887057,1826.674585
FLIP06-145C,198.4221543,149.117709,2513.667633,1770.354334
FLIP07-286C,212.7326597,156.248474,2777.201895,1951.213919
FLIP07-316C,253.102529,124.1903229,3262.324876,1816.036454
FLIP09-259C,155.5127031,216.1034479,2605.406999,2232.600527
FLIP09-272C,242.6892073,188.7653646,2494.970803,1921.77598
FLIP10-81C,294.2333415,183.3910966,3083.584508,1991.653099
Geza4,181.9258272,182.1184084,2279.148738,1960.230162
Geza531,215.8740166,148.6520932,2955.0536,1788.296245
ICCV92318,239.752445,105.7194952,2820.896236,1565.194823
ILC1335,225.6544697,116.2213869,2339.799191,1639.200987
S140334,277.2796334,211.3087991,2677.845285,2155.55156
X09TH106-12,221.9267624,147.0339893,2548.777183,1673.31462
DR4-3,412.8543385,136.0241503,3488.727816,1651.514059
DR4-11,151.0721913,134.5534423,2499.447778,1847.847275
DR4-87,258.1222857,167.71363,2489.276307,1938.275368
DR4-122,131.5112253,154.3143532,2465.308897,1932.310136
DR4-134,337.0465448,194.7613003,3306.124873,2032.260368
AB7-93,272.0471563,148.9026284,2617.295476,1820.162315
AB7-29,301.0880415,187.2209962,3002.14955,2149.719304
AB7-126,241.0596638,136.1779417,2405.554096,1870.339345
AB7-50,284.3573096,193.208323,2748.132916,2032.692035
AB7-20,331.0653849,179.0649346,3044.282321,2247.367191
AB7-145,260.1215979,162.2232554,3079.386967,1810.612347
AB7-123,299.2437128,166.967358,2901.582873,1833.092234
AB7-96,400.9738655,179.7060321,3264.417184,1946.23948
AB7-77,228.6314884,168.6475767,2735.336489,1920.482311
AB7-41,332.5179627,155.2881005,3550.567364,1903.121303
AB7-105,252.871158,157.1998701,2544.320769,2048.606581
AB7-22,216.8465857,138.3496073,2352.51766,1814.137553
AB7-46,316.2786909,153.7927699,2928.596928,1766.470783
AB7-4,213.4696226,107.1387287,2422.110628,1444.544045
AB7-62,239.493594,188.9158752,2528.122069,2036.663849
AB7-125,296.1145005,188.5954989,3082.97829,2123.789927
AB7-127,227.8662179,169.2069732,2592.315442,1907.583479
AB7-40,313.5044209,128.5883461,3007.388894,1682.314742
AB7-43,324.1409287,140.9103523,3004.061247,1784.806393
AB7-31,245.2483047,95.92849714,2532.130738,1605.624707
AB7-139,246.8522287,106.5949284,2488.341874,1686.853283
AB7-157,303.3872653,185.8705861,2965.569175,2140.098498
AB7-84,271.3555688,145.033648,3027.39807,2257.03509
AB7-149,238.8802419,178.1572972,2776.460172,1973.326679
AB7-61,201.6598535,206.7587363,2116.431113,2146.238942
AB7-68,312.8230272,211.9949218,2868.609225,2179.365511
AB7-39,419.6170879,114.9492116,3556.621896,1647.439867
AB7-15,176.1517072,137.0621013,2449.352795,1753.124263
AB7-23,188.2509079,123.6162992,2233.633661,2280.15631
